hour,day_of_week,day_of_year,temperature_c,demand
11,3,144,14.1,21416.0
12,3,144,14.0,21055.0
13,3,144,14.1,21119.0
14,3,144,14.5,22211.0
15,3,144,15.0,23051.0
16,3,144,15.7,25330.0
17,3,144,16.6,25867.0
18,3,144,18.1,25031.0
19,3,144,20.0,24696.0
20,3,144,21.9,24069.0
21,3,144,22.6,23131.0
22,3,144,22.1,22773.0
23,3,144,21.3,22387.0
0,4,145,20.0,22462.0
1,4,145,18.9,22985.0
2,4,145,17.4,23946.0
3,4,145,15.9,25679.0
4,4,145,15.0,26605.0
5,4,145,14.3,27265.0
6,4,145,13.8,26763.0
7,4,145,13.5,25318.0
8,4,145,13.3,23588.0
9,4,145,13.2,22768.0
10,4,145,13.1,21907.0
11,4,145,13.0,21195.0
12,4,145,13.0,20874.0
13,4,145,14.5,20951.0
14,4,145,14.8,21802.0
15,4,145,15.4,22780.0
16,4,145,16.0,23584.0
17,4,145,17.0,24333.0
18,4,145,18.3,23543.0
19,4,145,19.6,23119.0
20,4,145,20.8,22943.0
21,4,145,21.3,22737.0
22,4,145,21.6,23203.0
23,4,145,21.4,22977.0
0,5,146,20.0,22205.0
1,5,146,18.2,22621.0
2,5,146,16.9,22921.0
3,5,146,16.1,24111.0
4,5,146,15.3,25273.0
5,5,146,14.7,25788.0
6,5,146,14.1,25522.0
7,5,146,13.6,24390.0
8,5,146,13.3,23205.0
9,5,146,13.1,22329.0
10,5,146,12.7,21442.0
11,5,146,12.3,20714.0
12,5,146,12.1,20444.0
13,5,146,12.8,20301.0
14,5,146,13.8,20507.0
15,5,146,14.5,20152.0
16,5,146,15.5,20708.0
17,5,146,17.2,21410.0
18,5,146,18.9,21301.0
19,5,146,20.3,20425.0
20,5,146,20.6,19999.0
21,5,146,21.0,19555.0
22,5,146,21.5,19343.0
23,5,146,20.9,18835.0
0,6,147,20.2,18455.0
1,6,147,19.5,18720.0
2,6,147,17.8,19964.0
3,6,147,16.3,21590.0
4,6,147,15.5,23162.0
5,6,147,15.3,24187.0
6,6,147,15.0,24109.0
7,6,147,14.8,23184.0
8,6,147,14.4,21827.0
9,6,147,13.7,21540.0
10,6,147,13.0,20867.0
11,6,147,12.6,20207.0
12,6,147,12.9,19581.0
13,6,147,13.5,19305.0
14,6,147,14.0,19261.0
15,6,147,14.9,19254.0
16,6,147,15.9,20004.0
17,6,147,17.1,20467.0
18,6,147,19.1,19494.0
19,6,147,20.3,18673.0
20,6,147,21.9,18184.0
21,6,147,23.0,17231.0
22,6,147,23.1,16785.0
23,6,147,22.3,16549.0
0,0,148,21.1,16801.0
1,0,148,19.2,18124.0
2,0,148,18.1,20213.0
3,0,148,16.4,22254.0
4,0,148,15.4,23839.0
5,0,148,14.7,24646.0
6,0,148,14.1,24398.0
7,0,148,13.9,23279.0
8,0,148,13.5,21960.0
9,0,148,13.1,21131.0
10,0,148,12.6,20159.0
11,0,148,12.2,19504.0
12,0,148,11.7,19088.0
13,0,148,12.4,19124.0
14,0,148,13.2,19491.0
15,0,148,14.4,19284.0
16,0,148,15.6,19752.0
17,0,148,17.3,20147.0
18,0,148,19.8,19528.0
19,0,148,21.7,19500.0
20,0,148,23.5,19199.0
21,0,148,23.9,18586.0
22,0,148,23.4,18644.0
23,0,148,22.7,19246.0
0,1,149,21.8,19855.0
1,1,149,20.1,21191.0
2,1,149,18.5,23287.0
3,1,149,16.7,24862.0
4,1,149,15.6,26351.0
5,1,149,14.8,26793.0
6,1,149,14.3,26322.0
7,1,149,13.9,24662.0
8,1,149,13.5,23083.0
9,1,149,13.0,22156.0
10,1,149,12.6,21054.0
11,1,149,12.4,20367.0
12,1,149,12.0,20195.0
13,1,149,12.3,20388.0
14,1,149,12.3,21077.0
15,1,149,13.2,21935.0
16,1,149,14.7,23324.0
17,1,149,17.3,24009.0
18,1,149,19.9,22961.0
19,1,149,22.5,22235.0
20,1,149,23.4,22474.0
21,1,149,23.8,22346.0
22,1,149,24.3,21968.0
23,1,149,24.1,22428.0
0,2,150,22.1,23177.0
1,2,150,19.5,24161.0
2,2,150,18.1,25824.0
3,2,150,16.5,27273.0
4,2,150,15.5,28313.0
5,2,150,15.0,28738.0
6,2,150,14.7,28235.0
7,2,150,14.2,26476.0
8,2,150,13.4,24637.0
9,2,150,12.8,23640.0
10,2,150,12.7,22521.0
11,2,150,12.5,22019.0
12,2,150,12.2,21622.0
13,2,150,12.0,21598.0
14,2,150,12.1,22608.0
15,2,150,12.8,23610.0
16,2,150,14.2,24888.0
17,2,150,17.0,25715.0
18,2,150,19.6,24598.0
19,2,150,22.6,23819.0
20,2,150,24.1,23631.0
21,2,150,24.7,22960.0
22,2,150,24.5,23193.0
23,2,150,24.0,23500.0
0,3,151,23.1,23762.0
1,3,151,20.5,24954.0
2,3,151,18.9,26292.0
3,3,151,17.3,27701.0
4,3,151,16.2,28453.0
5,3,151,15.5,28766.0
6,3,151,14.9,28200.0
7,3,151,14.7,26478.0
8,3,151,14.3,24723.0
9,3,151,13.6,23735.0
10,3,151,13.3,22734.0
11,3,151,12.5,21931.0
12,3,151,11.9,21476.0
13,3,151,12.4,21723.0
14,3,151,13.9,22381.0
15,3,151,16.0,23240.0
16,3,151,18.1,24021.0
17,3,151,20.4,24952.0
18,3,151,22.8,24253.0
19,3,151,24.7,24068.0
20,3,151,25.8,23482.0
21,3,151,26.1,23249.0
22,3,151,25.6,22916.0
23,3,151,24.4,23733.0
0,4,152,23.4,25482.0
1,4,152,20.7,26955.0
2,4,152,18.8,28408.0
3,4,152,16.8,29579.0
4,4,152,15.6,30191.0
5,4,152,14.7,30332.0
6,4,152,14.1,29516.0
7,4,152,13.8,27541.0
8,4,152,13.7,25758.0
9,4,152,13.5,24589.0
10,4,152,13.4,23317.0
11,4,152,13.6,22414.0
12,4,152,13.7,21978.0
13,4,152,13.7,22015.0
14,4,152,14.1,22625.0
15,4,152,14.6,23696.0
16,4,152,15.4,25118.0
17,4,152,17.0,25683.0
18,4,152,19.5,25308.0
19,4,152,21.9,24678.0
20,4,152,23.6,24116.0
21,4,152,24.4,23461.0
22,4,152,24.5,24600.0
23,4,152,23.7,25270.0
0,5,153,22.2,26474.0
1,5,153,19.7,27749.0
2,5,153,18.0,28771.0
3,5,153,16.6,29429.0
4,5,153,15.5,29783.0
5,5,153,15.1,29595.0
6,5,153,14.7,28851.0
7,5,153,14.4,27100.0
8,5,153,14.2,25316.0
9,5,153,13.9,24152.0
10,5,153,13.6,23340.0
11,5,153,13.5,22496.0
12,5,153,13.4,21792.0
13,5,153,13.8,21630.0
14,5,153,14.2,21798.0
15,5,153,14.7,21452.0
16,5,153,15.3,23268.0
17,5,153,16.9,23790.0
18,5,153,18.9,23160.0
19,5,153,21.2,22937.0
20,5,153,23.2,22208.0
21,5,153,24.1,21401.0
22,5,153,23.3,21041.0
23,5,153,22.4,20925.0
0,6,154,21.2,21549.0
1,6,154,18.6,22738.0
2,6,154,17.0,23956.0
3,6,154,15.4,25549.0
4,6,154,14.5,26532.0
5,6,154,14.1,27010.0
6,6,154,14.3,26395.0
7,6,154,14.3,25448.0
8,6,154,14.7,24013.0
9,6,154,14.8,22587.0
10,6,154,14.8,21554.0
11,6,154,14.7,20820.0
12,6,154,14.5,20761.0
13,6,154,14.2,20593.0
14,6,154,14.4,20922.0
15,6,154,15.2,20707.0
16,6,154,16.4,21054.0
17,6,154,18.0,21598.0
18,6,154,19.9,21592.0
19,6,154,21.6,20735.0
20,6,154,22.7,20322.0
21,6,154,23.1,20040.0
22,6,154,23.3,20454.0
23,6,154,23.4,20124.0
0,0,155,22.9,19895.0
1,0,155,20.4,20408.0
2,0,155,19.2,22289.0
3,0,155,17.8,24595.0
4,0,155,16.8,25975.0
5,0,155,16.2,26660.0
6,0,155,15.7,26505.0
7,0,155,15.3,24852.0
8,0,155,15.0,23301.0
9,0,155,14.9,22308.0
10,0,155,14.9,21350.0
11,0,155,15.0,20755.0
12,0,155,15.1,20682.0
13,0,155,15.1,21008.0
14,0,155,15.4,21943.0
15,0,155,15.9,23408.0
16,0,155,16.7,25357.0
17,0,155,17.8,25753.0
18,0,155,20.4,25691.0
19,0,155,22.7,25577.0
20,0,155,24.7,24965.0
21,0,155,25.2,24809.0
22,0,155,24.9,24641.0
23,0,155,24.1,24296.0
0,1,156,22.9,24462.0
1,1,156,19.0,25377.0
2,1,156,18.1,26531.0
3,1,156,17.2,27217.0
4,1,156,16.5,27779.0
5,1,156,15.9,28309.0
6,1,156,15.7,27812.0
7,1,156,15.6,26089.0
8,1,156,15.1,24397.0
9,1,156,14.9,23827.0
10,1,156,14.5,22982.0
11,1,156,14.2,22426.0
12,1,156,14.0,22054.0
13,1,156,15.4,22218.0
14,1,156,15.7,22670.0
15,1,156,16.2,23895.0
16,1,156,17.7,25131.0
17,1,156,19.8,26533.0
18,1,156,22.2,26438.0
19,1,156,24.8,26896.0
20,1,156,26.5,26401.0
21,1,156,27.0,26047.0
22,1,156,26.7,25376.0
23,1,156,26.3,25638.0
0,2,157,25.2,27252.0
1,2,157,22.6,28602.0
2,2,157,20.7,30456.0
3,2,157,18.8,31941.0
4,2,157,17.8,32648.0
5,2,157,17.0,32621.0
6,2,157,16.6,31736.0
7,2,157,16.1,29492.0
8,2,157,15.7,27296.0
9,2,157,15.3,25859.0
10,2,157,14.9,24511.0
11,2,157,14.4,23540.0
12,2,157,14.0,23095.0
13,2,157,14.8,22932.0
14,2,157,14.7,23713.0
15,2,157,15.3,25192.0
16,2,157,17.4,27221.0
17,2,157,20.2,29160.0
18,2,157,22.6,29075.0
19,2,157,25.0,29100.0
20,2,157,26.7,29198.0
21,2,157,27.7,30013.0
22,2,157,27.4,29849.0
23,2,157,26.0,30456.0
0,3,158,24.4,31929.0
1,3,158,22.7,32950.0
2,3,158,20.4,34769.0
3,3,158,18.7,35698.0
4,3,158,17.8,35522.0
5,3,158,16.9,34904.0
6,3,158,16.7,33718.0
7,3,158,16.4,31240.0
8,3,158,16.1,29103.0
9,3,158,15.8,27213.0
10,3,158,15.6,25429.0
11,3,158,15.4,24559.0
12,3,158,15.1,23860.0
13,3,158,15.6,23618.0
14,3,158,15.7,24057.0
15,3,158,16.4,25030.0
16,3,158,18.0,26662.0
17,3,158,20.9,28395.0
18,3,158,23.5,28362.0
19,3,158,25.4,28332.0
20,3,158,26.0,28478.0
21,3,158,25.5,29008.0
22,3,158,24.8,28892.0
23,3,158,24.6,30338.0
0,4,159,24.4,31123.0
1,4,159,23.0,32777.0
2,4,159,21.3,34171.0
3,4,159,18.9,34457.0
4,4,159,17.4,34440.0
5,4,159,16.6,33750.0
6,4,159,16.1,32709.0
7,4,159,15.9,30492.0
8,4,159,15.4,28423.0
9,4,159,15.0,26911.0
10,4,159,15.1,25227.0
11,4,159,15.1,23760.0
12,4,159,15.1,23318.0
13,4,159,15.9,23222.0
14,4,159,16.5,23730.0
15,4,159,17.0,24818.0
16,4,159,17.9,26695.0
17,4,159,19.1,28392.0
18,4,159,20.5,28723.0
19,4,159,22.8,28348.0
20,4,159,24.9,28125.0
21,4,159,26.1,28009.0
22,4,159,26.6,27415.0
23,4,159,26.1,28082.0
0,5,160,24.8,28569.0
1,5,160,22.1,28676.0
2,5,160,20.2,29995.0
3,5,160,18.8,30803.0
4,5,160,17.8,30926.0
5,5,160,17.2,30513.0
6,5,160,16.9,29783.0
7,5,160,16.8,28071.0
8,5,160,16.5,26371.0
9,5,160,16.4,24894.0
10,5,160,16.2,23630.0
11,5,160,16.1,22652.0
12,5,160,16.2,22122.0
13,5,160,17.0,21900.0
14,5,160,17.3,21769.0
15,5,160,17.4,21863.0
16,5,160,18.1,23136.0
17,5,160,19.3,23794.0
18,5,160,20.8,23691.0
19,5,160,22.7,22918.0
20,5,160,24.8,22731.0
21,5,160,25.1,22208.0
22,5,160,24.9,21884.0
23,5,160,24.1,22056.0
0,6,161,23.3,22676.0
1,6,161,21.5,23706.0
2,6,161,19.6,25325.0
3,6,161,17.9,26772.0
4,6,161,16.9,27545.0
5,6,161,16.7,27710.0
6,6,161,16.4,27222.0
7,6,161,16.4,25888.0
8,6,161,16.4,24320.0
9,6,161,16.5,23172.0
10,6,161,16.5,22130.0
11,6,161,16.5,21399.0
12,6,161,16.6,20841.0
13,6,161,16.9,20355.0
14,6,161,17.1,20195.0
15,6,161,17.5,20151.0
16,6,161,18.2,21080.0
17,6,161,19.2,22632.0
18,6,161,21.7,22112.0
19,6,161,23.3,21514.0
20,6,161,24.2,21353.0
21,6,161,24.3,20709.0
22,6,161,24.1,20143.0
23,6,161,23.6,19930.0
0,0,162,22.9,20757.0
1,0,162,20.9,22189.0
2,0,162,19.1,24454.0
3,0,162,17.5,26394.0
4,0,162,16.4,27293.0
5,0,162,15.8,27503.0
6,0,162,15.4,27082.0
7,0,162,15.0,25422.0
8,0,162,14.5,23580.0
9,0,162,14.1,22526.0
10,0,162,13.7,21612.0
11,0,162,13.4,20904.0
12,0,162,13.0,20514.0
13,0,162,14.1,20730.0
14,0,162,14.3,21528.0
15,0,162,15.2,23021.0
16,0,162,16.9,25463.0
17,0,162,19.2,26777.0
18,0,162,21.5,27604.0
19,0,162,24.1,27270.0
20,0,162,26.0,26629.0
21,0,162,26.2,25867.0
22,0,162,25.1,25081.0
23,0,162,24.5,25600.0
0,1,163,23.2,26587.0
1,1,163,21.2,27697.0
2,1,163,19.4,29634.0
3,1,163,17.4,31072.0
4,1,163,16.3,31489.0
5,1,163,15.9,31237.0
6,1,163,15.5,30421.0
7,1,163,15.1,28332.0
8,1,163,14.5,26058.0
9,1,163,14.2,24803.0
10,1,163,13.9,23683.0
11,1,163,13.7,22734.0
12,1,163,13.5,22086.0
13,1,163,14.2,22229.0
14,1,163,14.2,22838.0
15,1,163,14.5,24094.0
16,1,163,16.3,26061.0
17,1,163,18.4,27356.0
18,1,163,21.2,28306.0
19,1,163,23.6,27582.0
20,1,163,25.1,27610.0
21,1,163,25.3,27414.0
22,1,163,25.0,28587.0
23,1,163,24.1,29454.0
0,2,164,23.2,30679.0
1,2,164,20.4,31844.0
2,2,164,18.7,33345.0
3,2,164,17.4,34216.0
4,2,164,16.5,34352.0
5,2,164,15.9,33864.0
6,2,164,15.5,32649.0
7,2,164,15.2,30314.0
8,2,164,14.9,28131.0
9,2,164,14.7,26376.0
10,2,164,14.6,25127.0
11,2,164,14.7,24078.0
12,2,164,15.1,23427.0
13,2,164,15.8,23361.0
14,2,164,16.3,23997.0
15,2,164,17.1,25201.0
16,2,164,18.5,27489.0
17,2,164,20.0,29136.0
18,2,164,21.9,29353.0
19,2,164,24.2,28779.0
20,2,164,26.4,28132.0
21,2,164,27.2,28690.0
22,2,164,27.0,28495.0
23,2,164,26.1,28008.0
0,3,165,25.2,29024.0
1,3,165,23.1,30220.0
2,3,165,20.9,31917.0
3,3,165,18.6,33121.0
4,3,165,17.3,33140.0
5,3,165,16.7,32409.0
6,3,165,16.4,31313.0
7,3,165,16.0,29221.0
8,3,165,14.9,27174.0
9,3,165,14.5,25590.0
10,3,165,14.1,24270.0
11,3,165,13.8,23061.0
12,3,165,13.6,22517.0
13,3,165,13.9,22536.0
14,3,165,14.1,23239.0
15,3,165,14.8,24427.0
16,3,165,16.2,25862.0
17,3,165,19.3,27017.0
18,3,165,21.9,26713.0
19,3,165,24.3,25679.0
20,3,165,25.0,24960.0
21,3,165,25.2,24579.0
22,3,165,25.2,24669.0
23,3,165,25.7,25054.0
0,4,166,25.0,25890.0
1,4,166,22.6,27396.0
2,4,166,20.2,29104.0
3,4,166,17.9,30391.0
4,4,166,16.4,30842.0
5,4,166,15.7,30449.0
6,4,166,15.4,29964.0
7,4,166,15.1,28216.0
8,4,166,14.8,26555.0
9,4,166,14.4,24996.0
10,4,166,14.2,23623.0
11,4,166,14.0,22668.0
12,4,166,13.7,22324.0
13,4,166,13.9,22305.0
14,4,166,14.6,22676.0
15,4,166,15.6,23897.0
16,4,166,17.8,25956.0
17,4,166,20.7,26609.0
18,4,166,23.6,26146.0
19,4,166,26.2,25696.0
20,4,166,27.7,25119.0
21,4,166,28.0,24917.0
22,4,166,27.6,25217.0
23,4,166,27.6,25648.0
0,5,167,27.0,26775.0
1,5,167,24.6,28413.0
2,5,167,22.7,30232.0
3,5,167,20.7,31140.0
4,5,167,19.2,31391.0
5,5,167,18.4,30958.0
6,5,167,17.8,30361.0
7,5,167,17.6,28374.0
8,5,167,17.3,26926.0
9,5,167,16.6,25237.0
10,5,167,15.8,23839.0
11,5,167,15.2,22853.0
12,5,167,14.6,22107.0
13,5,167,14.4,21796.0
14,5,167,14.6,21864.0
15,5,167,15.5,22051.0
16,5,167,18.0,23202.0
17,5,167,21.4,24194.0
18,5,167,25.0,24312.0
19,5,167,27.7,24150.0
20,5,167,28.6,23479.0
21,5,167,28.6,23183.0
22,5,167,28.9,22741.0
23,5,167,29.4,23178.0
0,6,168,28.1,24263.0
1,6,168,26.4,25963.0
2,6,168,24.2,28058.0
3,6,168,22.5,29380.0
4,6,168,21.2,29780.0
5,6,168,20.0,29418.0
6,6,168,19.2,28895.0
7,6,168,18.7,27152.0
8,6,168,18.3,25320.0
9,6,168,17.6,24242.0
10,6,168,16.6,22803.0
11,6,168,16.2,21773.0
12,6,168,15.9,21038.0
13,6,168,15.1,20677.0
14,6,168,15.9,20593.0
15,6,168,17.6,20734.0
16,6,168,19.9,21208.0
17,6,168,22.7,22218.0
18,6,168,25.5,21927.0
19,6,168,27.8,21891.0
20,6,168,28.8,21646.0
21,6,168,29.0,20918.0
22,6,168,28.8,20658.0
23,6,168,28.0,21228.0
0,0,169,27.0,22031.0
1,0,169,24.7,23830.0
2,0,169,23.0,25660.0
3,0,169,21.2,27316.0
4,0,169,19.5,28067.0
5,0,169,18.0,28151.0
6,0,169,17.1,27863.0
7,0,169,16.6,26262.0
8,0,169,16.2,24504.0
9,0,169,15.9,23428.0
10,0,169,15.6,22124.0
11,0,169,15.2,21356.0
12,0,169,15.0,21093.0
13,0,169,15.8,21171.0
14,0,169,16.2,21982.0
15,0,169,16.7,23059.0
16,0,169,17.8,24236.0
17,0,169,20.2,25671.0
18,0,169,23.5,26213.0
19,0,169,24.9,26456.0
20,0,169,25.4,26231.0
21,0,169,25.8,26006.0
22,0,169,25.6,25141.0
23,0,169,25.2,24250.0
0,1,170,24.8,24238.0
1,1,170,22.2,25420.0
2,1,170,21.3,27354.0
3,1,170,20.2,28353.0
4,1,170,19.0,28937.0
5,1,170,17.8,29331.0
6,1,170,17.2,28758.0
7,1,170,16.7,27140.0
8,1,170,16.4,25320.0
9,1,170,15.9,24333.0
10,1,170,15.5,23174.0
11,1,170,15.0,22204.0
12,1,170,14.7,22015.0
13,1,170,16.0,21995.0
14,1,170,16.1,22750.0
15,1,170,16.6,23992.0
16,1,170,18.2,25956.0
17,1,170,20.0,27250.0
18,1,170,22.8,26869.0
19,1,170,25.8,26634.0
20,1,170,27.5,25911.0
21,1,170,27.5,25819.0
22,1,170,27.1,25292.0
23,1,170,26.6,26098.0
0,2,171,25.8,27067.0
1,2,171,23.2,27783.0
2,2,171,21.5,28617.0
3,2,171,19.9,29922.0
4,2,171,19.0,30149.0
5,2,171,18.4,30203.0
6,2,171,18.0,29542.0
7,2,171,17.7,27644.0
8,2,171,17.3,26206.0
9,2,171,17.1,24513.0
10,2,171,16.8,23263.0
11,2,171,16.4,22457.0
12,2,171,15.9,21891.0
13,2,171,16.6,22056.0
14,2,171,16.9,22627.0
15,2,171,17.7,23703.0
16,2,171,19.7,25162.0
17,2,171,21.6,25707.0
18,2,171,24.2,25846.0
19,2,171,26.7,25542.0
20,2,171,27.6,25045.0
21,2,171,26.8,25028.0
22,2,171,26.0,24168.0
23,2,171,25.6,24539.0
0,3,172,24.8,25025.0
1,3,172,22.4,26868.0
2,3,172,21.0,28166.0
3,3,172,19.6,29221.0
4,3,172,18.3,29816.0
5,3,172,17.6,29867.0
6,3,172,17.2,29353.0
7,3,172,17.0,27642.0
8,3,172,16.7,26063.0
9,3,172,16.3,24721.0
10,3,172,15.9,23538.0
11,3,172,15.4,22753.0
12,3,172,15.0,22017.0
13,3,172,15.9,22167.0
14,3,172,15.9,22848.0
15,3,172,17.6,24074.0
16,3,172,19.6,25867.0
17,3,172,22.1,26647.0
18,3,172,25.0,26195.0
19,3,172,27.6,25636.0
20,3,172,28.1,25266.0
21,3,172,27.7,25144.0
22,3,172,27.4,25526.0
23,3,172,26.6,25794.0
0,4,173,25.9,27019.0
1,4,173,23.9,28309.0
2,4,173,21.9,29758.0
3,4,173,19.8,30500.0
4,4,173,18.4,30863.0
5,4,173,17.4,30734.0
6,4,173,16.9,30279.0
7,4,173,16.5,28350.0
8,4,173,16.1,26395.0
9,4,173,15.7,25023.0
10,4,173,15.1,23591.0
11,4,173,14.9,22590.0
12,4,173,14.5,22244.0
13,4,173,14.8,22096.0
14,4,173,15.7,22814.0
15,4,173,17.8,23981.0
16,4,173,20.1,25886.0
17,4,173,22.7,27847.0
18,4,173,25.8,27202.0
19,4,173,28.4,26792.0
20,4,173,29.5,26398.0
21,4,173,29.4,26635.0
22,4,173,28.9,26081.0
23,4,173,28.2,26636.0
0,5,174,27.4,28246.0
1,5,174,27.1,29983.0
2,5,174,24.8,32002.0
3,5,174,21.9,33271.0
4,5,174,20.4,33291.0
5,5,174,19.3,32624.0
6,5,174,18.4,31780.0
7,5,174,17.7,29720.0
8,5,174,17.1,27621.0
9,5,174,16.5,26032.0
10,5,174,16.1,24692.0
11,5,174,15.9,23543.0
12,5,174,15.7,22917.0
13,5,174,15.4,22410.0
14,5,174,16.1,22354.0
15,5,174,17.9,23042.0
16,5,174,20.5,24729.0
17,5,174,23.8,27254.0
18,5,174,27.5,27336.0
19,5,174,30.6,27095.0
20,5,174,32.2,27215.0
21,5,174,32.3,26969.0
22,5,174,31.1,27353.0
23,5,174,30.0,28657.0
0,6,175,29.2,30489.0
1,6,175,28.7,32534.0
2,6,175,26.3,34868.0
3,6,175,23.1,36525.0
4,6,175,21.2,36569.0
5,6,175,21.1,35379.0
6,6,175,20.8,34183.0
7,6,175,20.9,31885.0
8,6,175,20.7,29634.0
9,6,175,19.2,27790.0
10,6,175,19.6,26069.0
11,6,175,19.0,24669.0
12,6,175,18.5,23731.0
13,6,175,18.2,22873.0
14,6,175,18.7,22655.0
15,6,175,21.1,22824.0
16,6,175,26.1,24206.0
17,6,175,29.8,27123.0
18,6,175,30.8,28241.0
19,6,175,32.1,28374.0
20,6,175,31.6,28928.0
21,6,175,30.7,29313.0
22,6,175,30.1,29390.0
23,6,175,28.6,30732.0
0,0,176,27.7,32352.0
1,0,176,29.6,33909.0
2,0,176,26.5,36048.0
3,0,176,23.9,37484.0
4,0,176,22.5,36954.0
5,0,176,22.1,35896.0
6,0,176,22.1,34765.0
7,0,176,21.9,32438.0
8,0,176,21.6,29846.0
9,0,176,21.1,27813.0
10,0,176,20.7,26185.0
11,0,176,20.3,24933.0
12,0,176,20.0,24015.0
13,0,176,20.3,24177.0
14,0,176,21.2,24722.0
15,0,176,23.1,26103.0
16,0,176,25.5,29272.0
17,0,176,28.0,31805.0
18,0,176,30.8,32197.0
19,0,176,33.4,32265.0
20,0,176,33.4,32412.0
21,0,176,31.2,33467.0
22,0,176,30.1,34271.0
23,0,176,29.1,35576.0
0,1,177,28.0,37243.0
1,1,177,26.5,37600.0
2,1,177,24.0,38117.0
3,1,177,21.9,38678.0
4,1,177,20.9,37933.0
5,1,177,20.9,36772.0
6,1,177,20.9,35545.0
7,1,177,20.6,33115.0
8,1,177,20.2,30571.0
9,1,177,19.9,28759.0
10,1,177,19.5,27116.0
11,1,177,18.9,25801.0
12,1,177,18.5,25239.0
13,1,177,18.9,25105.0
14,1,177,19.7,25639.0
15,1,177,21.2,27299.0
16,1,177,23.2,29686.0
17,1,177,25.5,31757.0
18,1,177,28.0,31667.0
19,1,177,29.3,32207.0
20,1,177,29.5,32497.0
21,1,177,29.1,32569.0
22,1,177,28.2,33166.0
23,1,177,27.4,34218.0
0,2,178,26.6,35701.0
1,2,178,25.5,36814.0
2,2,178,23.3,37620.0
3,2,178,21.1,37762.0
4,2,178,20.0,37249.0
5,2,178,19.5,36197.0
6,2,178,19.3,34966.0
7,2,178,19.1,32544.0
8,2,178,18.8,30230.0
9,2,178,18.5,28289.0
10,2,178,18.0,26450.0
11,2,178,17.6,25401.0
12,2,178,17.3,24659.0
13,2,178,17.9,24483.0
14,2,178,18.5,24993.0
15,2,178,19.7,26248.0
16,2,178,21.5,28921.0
17,2,178,23.8,30470.0
18,2,178,26.2,30719.0
19,2,178,28.4,30442.0
20,2,178,29.7,30113.0
21,2,178,29.9,29773.0
22,2,178,29.7,30002.0
23,2,178,29.3,30490.0
0,3,179,27.9,31764.0
1,3,179,25.5,33088.0
2,3,179,23.8,34945.0
3,3,179,22.2,35785.0
4,3,179,20.5,35419.0
5,3,179,19.7,34519.0
6,3,179,19.5,33666.0
7,3,179,19.2,31333.0
8,3,179,18.7,29166.0
9,3,179,18.2,27441.0
10,3,179,17.8,25932.0
11,3,179,17.4,25170.0
12,3,179,16.9,24360.0
13,3,179,17.1,24298.0
14,3,179,17.5,24863.0
15,3,179,18.0,25893.0
16,3,179,19.9,28496.0
17,3,179,22.2,30290.0
18,3,179,25.0,30205.0
19,3,179,27.4,29489.0
20,3,179,29.3,29351.0
21,3,179,30.3,29617.0
22,3,179,30.2,29576.0
23,3,179,29.5,30705.0
0,4,180,28.1,31848.0
1,4,180,25.1,32698.0
2,4,180,23.5,34393.0
3,4,180,21.6,35411.0
4,4,180,20.2,35126.0
5,4,180,19.3,34306.0
6,4,180,18.7,33461.0
7,4,180,18.3,31198.0
8,4,180,18.1,28857.0
9,4,180,17.8,27394.0
10,4,180,17.3,25840.0
11,4,180,16.8,25016.0
12,4,180,16.6,24405.0
13,4,180,16.8,24016.0
14,4,180,17.9,24472.0
15,4,180,18.8,25617.0
16,4,180,21.1,28209.0
17,4,180,23.1,30270.0
18,4,180,25.5,30117.0
19,4,180,28.1,29390.0
20,4,180,29.4,28915.0
21,4,180,29.5,28638.0
22,4,180,29.3,28997.0
23,4,180,28.8,29769.0
0,5,181,27.9,30762.0
1,5,181,25.8,32261.0
2,5,181,23.5,34003.0
3,5,181,21.4,34862.0
4,5,181,20.0,34656.0
5,5,181,19.4,33814.0
6,5,181,18.8,32858.0
7,5,181,18.2,30671.0
8,5,181,17.7,28808.0
9,5,181,17.2,26986.0
10,5,181,16.7,25325.0
11,5,181,16.2,24159.0
12,5,181,15.6,23381.0
13,5,181,15.7,23068.0
14,5,181,16.0,23060.0
15,5,181,17.2,23373.0
16,5,181,19.3,25371.0
17,5,181,22.0,26976.0
18,5,181,24.9,26590.0
19,5,181,27.7,25766.0
20,5,181,29.3,25499.0
21,5,181,29.5,25816.0
22,5,181,29.2,26756.0
23,5,181,28.7,27279.0
0,6,182,27.5,28521.0
1,6,182,25.8,30467.0
2,6,182,23.5,32670.0
3,6,182,20.8,34162.0
4,6,182,19.2,34173.0
5,6,182,18.4,33335.0
6,6,182,17.6,32249.0
7,6,182,17.0,30233.0
8,6,182,16.6,28441.0
9,6,182,16.1,26540.0
10,6,182,15.6,25174.0
11,6,182,15.2,24074.0
12,6,182,14.9,23468.0
13,6,182,15.5,23013.0
14,6,182,15.5,22661.0
15,6,182,17.2,23194.0
16,6,182,20.6,25342.0
17,6,182,24.2,27135.0
18,6,182,28.1,26867.0
19,6,182,31.2,26115.0
20,6,182,32.3,25319.0
21,6,182,32.1,25129.0
22,6,182,31.9,25439.0
23,6,182,31.7,27155.0
0,0,183,30.1,29408.0
1,0,183,28.2,31482.0
2,0,183,24.9,33579.0
3,0,183,22.0,35137.0
4,0,183,20.6,35172.0
5,0,183,19.8,34059.0
